"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"99","Toshunt","536417752$10.20%536.42m","661","94","99.04%","1,982,766.9",""
"73","Litlam","457559014$8.70%457.56m","659","50","87.89%","1,691,280.5",""
"82","Illing","437776131$8.33%437.78m","660","40","93.89%","1,618,156.8",""
"76","Froginasock","427152179$8.13%427.15m","661","32","88.73%","1,578,887.3",""
"67","Rippermcgoo","409975177$7.80%409.98m","657","38","92.71%","1,515,395.8",""
"57","Therzsham","376006260$7.15%376.01m","644","82","99.21%","1,389,836.1",""
"65","Shiversting","333973694$6.35%333.97m","651","57","85.06%","1,234,470.7",""
"26","Fyaball","303267913$5.77%303.27m","656","13","80.94%","1,120,972.5",""
"25","Nitroburger","292416816$5.56%292.42m","655","14","86.61%","1,080,863.5",""
"22","Aingg","287830638$5.48%287.83m","654","9","98.85%","1,063,911.6",""
"35","Chuckleduck","287750111$5.47%287.75m","648","36","92.41%","1,063,613.9",""
"25","Kamalabiden","283010424$5.38%283.01m","634","89","98.68%","1,046,094.6",""
"29","Biglick","282733078$5.38%282.73m","655","18","88.98%","1,045,069.4",""
"86","Nixis","209497518$3.99%209.50m","661","51","90.21%","774,368.0",""
"34","Kornbreadd","162393237$3.09%162.39m","651","29","93.54%","600,255.9",""
"51","Acupuncher","83755791$1.59%83.76m","663","14","84.58%","309,587.5",""
"7","Umbramist","35549670$0.68%35.55m","658","3","65.07%","131,402.6",""
"63","Chimes","26317258$0.50%26.32m","656","59","66.71%","97,276.8",""
"55","Kratik","22819520$0.43%22.82m","659","50","51.54%","84,348.0",""
"-","Bear","555378$0.01%555.4k","-","-","0.00%","2,052.8",""