"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"86","Chimes","4606465827$31.98%4.61b","31.86%","665","79","99.32%","2,051,747.2",""
"70","Kratik","4288065071$29.77%4.29b","36.47%","664","62","97.20%","1,909,929.6",""
"56","Therzdk","1738867404$12.07%1.74b","32.89%","-","67","96.10%","774,501.8",""
"57","Kornbreadd","776351708$5.39%776.35m","21.18%","-","61","96.21%","345,791.7",""
"35","Acupuncher","609534764$4.23%609.53m","34.25%","666","23","15.94%","271,490.4",""
"49","Rippermcgoo","346643505$2.41%346.64m","32.00%","664","53","93.51%","154,397.1",""
"51","Chuckleduck","301002636$2.09%301.00m","63.83%","652","57","92.56%","134,068.4",""
"35","Biglick","293226052$2.04%293.23m","21.79%","660","36","82.55%","130,604.6",""
"38","Lorethian","284709046$1.98%284.71m","24.55%","655","45","82.31%","126,811.1",""
"34","Blardy","279784198$1.94%279.78m","3.52%","637","59","92.71%","124,617.5",""
"75","Froginasock","175434055$1.22%175.43m","65.37%","663","81","30.71%","78,139.4",""
"45","Toshunt","163824163$1.14%163.82m","51.38%","-","67","86.94%","72,968.3",""
"15","Nitroburger","120690167$0.84%120.69m","62.91%","-","17","30.83%","53,756.1",""
"3","Nitrotaco","113625276$0.79%113.63m","23.42%","644","5","40.46%","50,609.4",""
"24","Fyaball","102340196$0.71%102.34m","7.85%","665","31","6.28%","45,582.9",""
"27","Doomslugg","69527319$0.48%69.53m","54.64%","-","33","60.25%","30,967.9",""
"76","Illing","54066710$0.38%54.07m","16.11%","665","80","15.91%","24,081.6",""
"11","JÃ«ongyeon","45475346$0.32%45.48m","0.89%","658","8","13.11%","20,255.0",""
"72","Litlam","35865353$0.25%35.87m","19.90%","665","79","15.95%","15,974.6",""